mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
12025;2;20240300022664;2;2;14;13;7;3;3;6;1657.7788445;78.869297733
12025;2;20240300022669;2;2;14;5;16;1;1;6;4840.1849826;47.974917098
12025;2;20240300022672;2;2;14;9;9;1;1;1;2636.9154982;3138.6747176
12025;2;20240300025504;2;2;14;9;6;1;1;6;2262.5043801;170.44340396
12025;2;20240300025570;2;2;14;9;4;1;2;6;1944.1299457;268.48927399
12025;2;20240300025649;2;2;12;9;3;1;1;6;1176.0499733;566.61413147
12025;2;20240300026178;2;2;12;9;5;1;1;6;1536.7173011;276.87163628
12025;2;20240300026635;2;2;14;10;16;1;2;6;4544.1426387;148.12697267
12025;2;20240300026803;2;2;14;1;12;1;1;6;3881.1316567;19.425860472
12025;2;20240300028367;2;2;14;9;6;1;1;6;2328.566154;295.53859321
12025;2;20240300031612;2;2;14;13;4;3;1;6;1553.3427574;296.24964987
12025;2;20241200002150;8;3;2;10;2;1;1;6;941.86396973;340.93553107
12025;2;20241200011898;2;4;9;9;2;1;1;6;580.41853313;60.856602533
12025;2;20241200011899;2;4;14;9;5;1;1;6;2221.3740579;46.836724876
12025;2;20241200011900;2;4;3;9;3;1;1;6;768.38800677;83.671249655
12025;2;20241200011901;2;4;3;9;4;1;1;6;986.77484504;58.905167763
12025;2;20241200011904;2;4;3;10;8;3;3;6;657.95578112;20.051730682
12025;2;20241200011905;2;4;15;9;3;1;1;6;4055.8110284;64.019188373
12025;2;20241200011907;2;4;3;9;5;1;1;6;1166.2632955;41.469666145
12025;2;20241200011908;2;4;3;9;7;1;1;6;1118.7067592;10.276727175
12025;2;20241200011909;2;4;3;9;4;3;3;6;657.63968876;34.715616712
12025;2;20241200011910;2;4;14;9;2;1;1;6;2682.3826928;120.59096491
12025;2;20241200011911;2;4;2;9;5;1;1;6;1341.094562;27.294700819
12025;2;20241200011913;2;4;3;9;3;1;3;6;803.2536672;44.550889452
12025;2;20241200011915;2;4;3;9;3;1;1;6;803.2536672;41.835624827
12025;2;20241200011916;2;4;3;9;4;3;3;6;628.40153663;34.715616712
12025;2;20241200011917;2;4;3;9;6;3;2;6;592.86092629;52.952177971
12025;2;20241200011918;2;4;12;9;30;3;1;6;2024.81007;45.491512827
12025;2;20241200011919;2;4;9;4;8;3;3;6;812.73901451;15.844575436
12025;2;20241200011922;2;4;3;9;4;3;3;6;628.40153663;34.715616712
12025;2;20241200011923;2;4;3;9;5;3;3;6;758.69740839;34.715616712
12025;2;20241200011924;2;4;15;9;2;1;1;6;3862.1907193;180.98894396
12025;2;20241200011927;2;4;3;9;3;1;1;6;803.2536672;83.671249655
12025;2;20241200013110;2;4;7;12;7;3;3;6;452.27250309;17.753926045
12025;2;20241200013111;2;4;13;12;12;3;3;6;1875.1168132;71.128051912
12025;2;20241200013113;2;4;7;12;1;1;1;6;235.98708715;195.23637621
12025;2;20241200013115;2;4;7;12;1;1;1;6;251.93591026;195.23637621
12025;2;20241200014349;8;3;2;7;30;2;1;6;2400.6810077;92.797014813
12025;2;20241200014440;2;4;9;13;11;2;1;6;1554.2281143;112.21380347
12025;2;20241200014441;2;4;7;12;1;1;1;1;313.2954161;126.11401937
12025;2;20241200014442;2;4;7;12;1;1;1;6;247.15322224;97.618188105
12025;2;20241200014443;2;4;7;12;3;2;3;6;390.8762098;27.023400643
12025;2;20241200014447;8;4;13;13;11;1;1;6;2512.20568;62.25021356
12025;2;20241200014448;8;4;14;9;7;1;1;6;3170.7578173;24.932606601
12025;2;20241200014450;8;4;3;9;2;1;2;6;676.31807044;49.830704261
12025;2;20241200014451;8;4;3;9;5;3;1;6;758.69740839;130.39914886
12025;2;20241200014452;8;4;8;9;2;1;3;6;672.07202958;24.004505662
12025;2;20241200014455;2;4;3;9;4;1;1;6;986.77484504;58.905167763
12025;2;20241200014457;8;4;3;9;3;1;1;6;800.87320221;78.321327708
12025;2;20241200014458;2;4;3;9;7;3;3;6;559.38067613;34.715616712
12025;2;20241200014459;2;4;3;9;1;1;2;6;447.04706756;70.781519773
12025;2;20241200014460;2;4;15;13;2;1;1;6;1312.8839197;114.56600073
12025;2;20241200014461;2;4;3;9;4;3;1;6;657.63968876;65.199574432
12025;2;20241200014463;2;4;3;9;14;1;2;6;1957.4211529;0.7386228305
12025;2;20241200014464;2;4;15;13;3;1;1;6;2593.4874805;301.06249633
12025;2;20241200014465;2;4;3;9;5;3;2;6;716.69561616;54.672970204
12025;2;20241200014468;2;4;3;9;3;3;2;6;558.81006143;54.672970204
12025;2;20241200014470;2;4;3;9;2;1;2;6;676.31807044;49.830704261
12025;2;20241200016897;2;4;7;12;1;1;1;6;251.93591026;146.42728216
12025;2;20241200016899;8;4;7;12;1;1;1;6;247.15322224;97.618188105
12025;2;20241200018338;8;3;15;13;1;1;1;6;477.07447859;1035.5523245
12025;2;20241200018491;8;4;7;12;1;1;1;6;247.15322224;146.42728216
12025;2;20241200018492;2;4;7;12;1;1;1;6;182.94832283;244.04547026
12025;2;20241200020008;8;3;6;1;2;1;1;6;725.44033187;661.04671556
12025;2;20241200020015;8;3;15;1;8;1;1;6;693.33804642;855.62032521
12025;2;20241200020032;2;4;7;12;1;1;1;6;247.15322224;97.618188105
12025;2;20241200020033;2;4;7;12;2;2;1;6;315.53322514;101.50556945
12025;2;20241200020035;2;4;7;12;2;3;1;6;176.76560604;172.13656315
12025;2;20241200020036;2;4;7;12;1;2;1;6;204.64120325;899.86999578
12025;2;20241200020037;2;4;6;9;4;1;3;6;1029.0887066;34.170603371
12025;2;20241200020039;2;4;3;9;3;3;3;6;419.24959725;34.715616712
12025;2;20241200020043;2;4;3;9;4;3;3;6;498.21826465;34.715616712
12025;2;20241200020044;2;4;3;9;1;1;1;6;413.65055306;168.81925199
12025;2;20241200020047;2;4;6;9;6;3;1;6;871.19782296;42.577864603
12025;2;20241200020049;2;4;15;9;3;1;1;6;2564.7182682;128.03837675
12025;2;20241200020050;2;4;8;9;2;1;1;6;676.29943435;69.065497287
12025;2;20241200020051;2;4;3;13;2;1;2;6;743.70194623;53.895793562
12025;2;20241200021418;8;4;14;13;8;1;2;6;3413.965456;23.713008631
12025;2;20241200021419;2;4;7;12;1;1;1;6;247.15322224;97.618188105
12025;2;20241200021421;2;4;7;12;1;1;1;6;251.93591026;97.618188105
12025;2;20241200021422;2;4;13;12;7;1;2;6;1785.5565567;151.41825273
12025;2;20241200021423;2;4;7;12;1;1;1;6;247.15322224;97.618188105
12025;2;20241200021587;2;2;9;4;30;3;2;6;2019.2517154;14.578829857
12025;2;20241200022283;8;3;15;1;5;1;1;6;486.47329121;753.47624456
12025;2;20241200022299;8;3;15;1;10;1;1;6;1591.754079;236.90452206
